list_name,name,label,Type,GrowthHabitSub,Duration,Foliar,fulllist
PlantsList,IPCO5,IPCO5    Ipomopsis congesta (Hook.) V.E. Grant    ballhead ipomopsis,NonWoody,Forb,Perennial,Y,Y
PlantsList,IPLA2,IPLA2    Ipomopsis laxiflora (J.M. Coult.) V.E. Grant    iron ipomopsis,NonWoody,Forb,Annual,Y,Y
PlantsList,IPLO2,IPLO2    Ipomopsis longiflora (Torr.) V.E. Grant    flaxflowered ipomopsis,NonWoody,Forb,Annual,Y,Y
PlantsList,IPOMO2,IPOMO2    Ipomopsis Michx.    ipomopsis,NonWoody,Forb,Annual,Y,Y
PlantsList,IPPO2,IPPO2    Ipomopsis polycladon (Torr.) V.E. Grant    manybranched ipomopsis,NonWoody,Forb,Annual,Y,Y
PlantsList,IPSP,IPSP    Ipomopsis spicata (Nutt.) V.E. Grant    spiked ipomopsis,NonWoody,Forb,Perennial,Y,Y
PlantsList,IPSPC,IPSPC    Ipomopsis spicata (Nutt.) V.E. Grant ssp. capitata (A. Gray) V.E. Grant    spiked ipomopsis,NonWoody,Forb,Perennial,Y,Y
PlantsList,ISTI,ISTI    Isatis tinctoria L.    Dyer s woad,NonWoody,Forb,Perennial,Y,Y
PlantsList,IVAM,IVAM    Iva ambrosiifolia    ragged marsh-elder,NonWoody,Forb,Annual,Y,Y
PlantsList,IVAML2,IVAML2    Iva ambrosiifolia subsp. lobata    ragged marsh-elder,NonWoody,Forb,Annual,Y,Y
PlantsList,IVAX,IVAX    Iva axillaris    Povertyweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,IVDE,IVDE    Iva dealbata    woolly marsh elder,NonWoody,Forb,Perennial,Y,Y
PlantsList,IVGO,IVGO    Ivesia gordonii (Hook.) Torr. A. Gray    Gordon's ivesia,NonWoody,Forb,Perennial,Y,Y
PlantsList,IVXA,IVXA    Iva xanthifolia Nutt.,NonWoody,Forb,Annual,Y,Y
PlantsList,JAAM,JAAM    Jamesia americana Torr. & A. Gray    fivepetal cliffbush,Woody,Shrub,Perennial,Y,Y
PlantsList,JAGR,JAGR    Janusia gracilis    slender janusia,NonWoody,Forb,Perennial,Y,Y
PlantsList,JUAR2,JUAR2    Juncus arcticus    arctic rush,NonWoody,Sedge,Perennial,Y,Y
PlantsList,JUAR3,JUAR3    Juniperus arizonica    redberry juniper,Woody,Tree,Perennial,Y,Y
PlantsList,JUARA4,JUARA4    Juncus arcticus ssp. ater    Baltic rush mountain rush,NonWoody,Sedge,Perennial,Y,Y
PlantsList,JUARB5,JUARB5    Juncus arcticus Willd. var. balticus (Willd.) Trautv.    mountain rush,NonWoody,Sedge,Perennial,Y,Y
PlantsList,JUBA,JUBA    Juncus balticus Willd.,NonWoody,Sedge,Perennial,Y,Y
PlantsList,JUCO2,JUCO2    Juncus confusus Coville    Colorado rush,NonWoody,Sedge,Perennial,Y,Y
PlantsList,JUCO6,JUCO6    Juniperus communis    common juniper,Woody,Shrub,Perennial,Y,Y
PlantsList,JUCOA2,JUCOA2    Juniperus coahuilensis var. arizonica    redberry juniper,Woody,Tree,Perennial,Y,Y
PlantsList,JUCOA3,JUCOA3    Juniperus coahuilensis subsp. arizonica    redberry juniper,Woody,Tree,Perennial,Y,Y
