"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"LUARA5","","Lupinus argenteus ssp. argenteus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUARA11","","Lupinus argenteus ssp. argenteus var. argenteus","Fabaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"LUARL5","","Lupinus argenteus ssp. argenteus var. laxiflorus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUARI","","Lupinus argenteus ssp. ingratus","Fabaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"LUARM3","","Lupinus argenteus ssp. moabensis","Fabaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"LUARR","","Lupinus argenteus ssp. rubricaulis","Fabaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"LUARS3","","Lupinus argenteus ssp. spathulatus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"LUBA3","","Lupinus bakeri","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUBAA","","Lupinus bakeri ssp. amplus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUBAB","","Lupinus bakeri ssp. bakeri","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUBR2","","Lupinus brevicaulis","Fabaceae","Annual","Forb/herb","L48(N)"
"LUCA3","","Lupinus caespitosus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCAC2","","Lupinus caespitosus var. caespitosus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCAU","","Lupinus caespitosus var. utahensis","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCA","","Lupinus caudatus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCAA","","Lupinus caudatus ssp. argophyllus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCAC3","","Lupinus caudatus ssp. caudatus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUCR2","","Lupinus crassus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUDE3","","Lupinus depressus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUKI","","Lupinus kingii","Fabaceae","Annual","Forb/herb","L48(N)"
"LUKIA","","Lupinus kingii var. argillaceus","Fabaceae","Annual","Forb/herb","L48(N)"
"LUKIK","","Lupinus kingii var. kingii","Fabaceae","Annual","Forb/herb","L48(N)"
"LULE3","","Lupinus leucophyllus","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"LUPA8","","Lupinus parviflorus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPAF","","Lupinus parviflorus ssp. floribundus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPAM2","","Lupinus parviflorus ssp. myrianthus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPAF4","","Lupinus parviflorus ssp. myrianthus var. fulvomaculatus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPAM4","","Lupinus parviflorus ssp. myrianthus var. myrianthus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPAP4","","Lupinus parviflorus ssp. parviflorus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPL","","Lupinus plattensis","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPR2","","Lupinus prunophilus","Fabaceae","Perennial","Forb/herb","L48(N)"
"LUPU","","Lupinus pusillus","Fabaceae","Annual","Forb/herb","L48(N)CAN(N)"
"LUPUI2","","Lupinus pusillus ssp. intermontanus","Fabaceae","Annual","Forb/herb","L48(N)"
"LUPUP","","Lupinus pusillus ssp. pusillus","Fabaceae","Annual","Forb/herb","L48(N)CAN(N)"
"LUPUR","","Lupinus pusillus ssp. rubens","Fabaceae","Annual","Forb/herb","L48(N)"
"LUSE4","","Lupinus sericeus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUSES2","","Lupinus sericeus ssp. sericeus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUSEE2","","Lupinus sericeus ssp. sericeus var. egglestonianus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUSES4","","Lupinus sericeus ssp. sericeus var. sericeus","Fabaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"LUWY","","Lupinus wyethii","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"LUWYW","","Lupinus wyethii ssp. wyethii","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"LUZUL","","Luzula","Juncaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"LUCO6","","Luzula comosa","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"LUFA3","","Luzula fastigiata","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"LUMU2","","Luzula multiflora","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"LUMUF","","Luzula multiflora ssp. frigida","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"LUPA4","","Luzula parviflora","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"LUSP4","","Luzula spicata","Juncaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"LUSU9","","Luzula subcapitata","Juncaceae","Perennial","Graminoid","L48(N)"
"LYCHN","","Lychnis","Caryophyllaceae","","","L48(I)CAN(I,W)"
"LYCO","","Lychnis coronaria","Caryophyllaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"LYCIU","","Lycium","Solanaceae","","","L48(I,N)CAN(I)"
"LYBA4","","Lycium barbarum","Solanaceae","Perennial","Vine, Shrub","L48(I)CAN(I)"
"LYPA","","Lycium pallidum","Solanaceae","Perennial","Shrub","L48(N)"
"LYPAP","","Lycium pallidum var. pallidum","Solanaceae","Perennial","Shrub","L48(N)"
"LYCOP2","","Lycopodium","Lycopodiaceae","","","L48(N)CAN(N)GL(N)SPM(N)"
"LYAN2","","Lycopodium annotinum","Lycopodiaceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
